MedCodeId	Term	status
7681981000006118	Assessment of tobacco use	5
649841000006110	Ex-smoker	2
250373019	Stopped smoking	2
418914010	Ex-cigarette smoker	2
250365011	Ex-moderate cigarette smoker (10-19/day)	2
250364010	Ex-light cigarette smoker (1-9/day)	2
250385010	Date ceased smoking	2
250366012	Ex-heavy cigarette smoker (20-39/day)	2
250371017	Ex-smoker - amount unknown	2
250363016	Ex-trivial cigarette smoker (<1/day)	2
250367015	Ex-very heavy cigarette smoker (40+/day)	2
1488873010	Smoking free weeks	2
1154471000000114	Ex-smoker annual review	2
67621000006112	Very heavy cigarette smoker (40+ cigs/day)	1
137761000006114	Smoking Age Ceased	2
649821000006115	Ex-cigar smoker	2
649831000006117	Ex-pipe smoker	2
649861000006114	Ex-Cigarette Smoker	2
1151791000000117	Recently stopped smoking	2
1059701000000119	Ex roll-up cigarette smoker	2
649851000006112	Ex- Rolled Tobacco Smoker	2
903041000006110	EX-Smoker NOS	2
5496031000006112	Ex-cigarette smoker amount unknown	2
854151000006111	Date stopped smoking	2
8017571000006117	Ex-smoker for more than 1 year	2
2735181000000113	Ex-smoker amount unknown	2
4980561000006117	Time since stopped smoking	2
2735381000000111	Ex-light smoker (1-9/day)	2
7368651000006119	Smoked before confirmation of pregnancy	2
854111000006110	Past smoker	2
2735331000000112	Ex-moderate smoker (10-19/day)	2
2735281000000119	Ex-heavy smoker (20-39/day)	2
2735421000000119	Ex-trivial smoker (<1/day)	2
3513199018	Ex-smoker for less than 1 year	2
853001000006110	Ex-smoker NOS	2
7368961000006112	Stopped smoking during pregnancy	2
2735201000000112	Ex-very heavy smoker (40+/day)	2
295259018	Tobacco dependence in remission	2
7368971000006117	Stopped smoking before pregnancy	2
1899561000006114	Mother's smoking status at time of baby's birth - ex-smoker	2
2636041000006110	Cessation of smoking	2
3374141000006117	Tolerant ex-smoker	2
854051000006112	Ex-pipe smoker	2
298701000000114	History of tobacco use	2
14494021000006110	Former smoker	2
6217281000006116	Aggressive ex-smoker	2
3513101011	Date ceased using moist tobacco	2
6217151000006116	Intolerant ex-smoker	2
397732011	Never smoked tobacco	3
250374013	Current non-smoker	6
14866014	Non-smoker	6
904111000006113	Carbon monoxide validation confirms non-smoker	6
1009271000006118	Non Smoker - Nos	6
5495921000006119	Never smoked	3
854951000006113	Grade A non-smoker	6
7965041000006111	Never smoked any substance	3
1899581000006116	Mother's smoking status at time of baby's birth - never smoked	3
6718071000006115	Current non smoker but past smoking history unknown	6
7569061000006118	Never used tobacco	3
903051000006112	Tobacco Consumption Nil	6
250370016	Tobacco consumption unknown	4
11928911000006113	Refusal to give smoking status	4
12490821000006119	Refusal to give smoking status	4
102921000006112	Tobacco smoking consumption	5
344793011	Cigarette consumption	5
137811000006119	Smoking Status	5
1780396011	Cigarette pack-years	5
13619901000006115	Number of calculated smoking pack years	5
5496021000006114	Tobacco smoking consumption unknown	5
14616531000006112	Smoking	5
4153241000006117	Smoking AND/OR drinking habits	5
2737011000000111	Number of calculated smoking pack years	5
